Condition,Subcondition,Progress Note (P) or Handover Checklist (H),Line,Text
..........................................,,,,
Cardiology,Cardiology,P,1,
.........................................,,,,
Congestive Heart Failure,CHF,P,1,%Vitals
Congestive Heart Failure,CHF,P,2,%CVS1
Congestive Heart Failure,CHF,P,3,%CVS2
Congestive Heart Failure,CHF,P,4,%JVP
Congestive Heart Failure,CHF,P,5,%Fluid Status1
Congestive Heart Failure,CHF,P,6,%Fluid Status2
Congestive Heart Failure,CHF,P,7,%In's And Out's
Congestive Heart Failure,CHF,P,8,%Pulmonary1
Congestive Heart Failure,CHF,P,9,%Pulmonary2
Congestive Heart Failure,CHF,P,10,%Pulmonary3
Congestive Heart Failure,CHF,P,11,%Pulmonary4
Congestive Heart Failure,CHF,P,12,%Abdo
Congestive Heart Failure,CHF,P,13,%ECG1
Congestive Heart Failure,CHF,P,14,%ECG2
Congestive Heart Failure,CHF,P,15,%CXR1
Congestive Heart Failure,CHF,P,16,%CXR2
Congestive Heart Failure,CHF,P,17,%Echocardiogram
Congestive Heart Failure,CHF,P,18,%Trop
Congestive Heart Failure,CHF,P,19,%CBC
Congestive Heart Failure,CHF,P,20,%Lytes
Congestive Heart Failure,CHF,P,21,Suspected Etiology:_
Congestive Heart Failure,CHF,P,22,Circle if Symptoms Present:
Congestive Heart Failure,CHF,P,23,$Chest Pain  Palpitations
Congestive Heart Failure,CHF,P,24,$Dyspnea  Orthopnea  PND 
Congestive Heart Failure,CHF,P,25,$Edema . Ascites .  Elevated JVP
Congestive Heart Failure,CHF,P,26,Symptom Management:
Congestive Heart Failure,CHF,P,27,$Place in Upright Position_  Salt Restriction:_
Congestive Heart Failure,CHF,P,28,$Loop Diuretic:_
Congestive Heart Failure,CHF,P,29,$Response to Diuretic:_
Congestive Heart Failure,CHF,P,30,Long-Term Management of HFrEF:
Congestive Heart Failure,CHF,P,31,$Anti-Plt:_ . Statin:_
Congestive Heart Failure,CHF,P,32,$ACEi/ARB:_ . $Beta-blocker:_ . Aldo Receptor Antagonist:_
Congestive Heart Failure,CHF,H,1,Positioned upright
Congestive Heart Failure,CHF,H,2,Adjust Lasix
Congestive Heart Failure,CHF,H,3,@Suspected Etiology:_
Congestive Heart Failure,CHF,H,4,@Had Recent Echo: Date:____ LVEF____ Findings:_
Congestive Heart Failure,CHF,H,5,@Salt Restrict
Congestive Heart Failure,CHF,H,6,@Adjust Meds at admission to accomodate CVS status and potential AKI
Congestive Heart Failure,CHF,H,7,"@Once out of CHF, re-start medications & titrate long-term CHF meds"
Congestive Heart Failure,CHF,H,8,#Follow-up Plan:
Atrial Fibrillation,A.Fib,P,1,Profile: Diagnosed___ and Any Hx of HTN Stroke or TIA
Atrial Fibrillation,A.Fib,P,2,Severe Mitral Stenosis or Valve replacement: Y or N
Atrial Fibrillation,A.Fib,P,3,Hx of Hyperthyroidism: Y or N
Atrial Fibrillation,A.Fib,P,4,If new onset A.Fib - check for tachymyopathy
Atrial Fibrillation,A.Fib,P,5,Symptoms (e.g. Palpitations; CP; Dyspnea):
Atrial Fibrillation,A.Fib,P,6,Management Plan:
Atrial Fibrillation,A.Fib,P,7,$Rate Control: HR=_ Agent(s):
Atrial Fibrillation,A.Fib,P,8,$Anticoagulation: CHADS2=_ HASBLED=_
Atrial Fibrillation,A.Fib,P,9,$Anticoagulation agent used__________ and if none - reason:_
Atrial Fibrillation,A.Fib,P,10,$If on Warfarin: Last INR:___  Date:___
Atrial Fibrillation,A.Fib,P,11,%Vitals
Atrial Fibrillation,A.Fib,P,12,%CVS1
Atrial Fibrillation,A.Fib,P,13,%CVS2
Atrial Fibrillation,A.Fib,P,14,%Pulmonary1
Atrial Fibrillation,A.Fib,P,15,%Pulmonary2
Atrial Fibrillation,A.Fib,P,16,%Pulmonary3
Atrial Fibrillation,A.Fib,P,17,%Fluid Status1
Atrial Fibrillation,A.Fib,P,18,%Fluid Status2
Atrial Fibrillation,A.Fib,P,19,%Edema
Atrial Fibrillation,A.Fib,P,20,%JVP
Atrial Fibrillation,A.Fib,H,1,Check HR
Atrial Fibrillation,A.Fib,H,2,Check INR (if on Warfarin) ; Target range:
